fips,state,rpl_themes,e_pop
17095,ILLINOIS,0.6462,50999
17097,ILLINOIS,0.3513,703619
17099,ILLINOIS,0.4303,110401
17101,ILLINOIS,0.7783,16189
17103,ILLINOIS,0.301,34527
17105,ILLINOIS,0.4841,36324
17107,ILLINOIS,0.2271,29207
17109,ILLINOIS,0.5166,30875
17111,ILLINOIS,0.0701,307789
17113,ILLINOIS,0.1904,173219
17115,ILLINOIS,0.5971,106512
17117,ILLINOIS,0.1987,45719
17119,ILLINOIS,0.2965,265670
17121,ILLINOIS,0.7385,38084
17123,ILLINOIS,0.0545,11794
17125,ILLINOIS,0.2946,13778
17127,ILLINOIS,0.7513,14430
17129,ILLINOIS,0.0484,12367
17131,ILLINOIS,0.1134,15693
17133,ILLINOIS,0.0016,33936
17135,ILLINOIS,0.3914,29009
17137,ILLINOIS,0.5045,34426
17139,ILLINOIS,0.2949,14703
17141,ILLINOIS,0.2917,51328
17143,ILLINOIS,0.6131,184463
17145,ILLINOIS,0.6487,21384
17147,ILLINOIS,0.0032,16427
17149,ILLINOIS,0.3494,15754
17151,ILLINOIS,0.4545,4249
17153,ILLINOIS,0.6943,5611
17155,ILLINOIS,0.0277,5746
17157,ILLINOIS,0.4567,32546
17159,ILLINOIS,0.4105,15881
17161,ILLINOIS,0.7137,145275
17163,ILLINOIS,0.5229,263463
17165,ILLINOIS,0.8637,24231
17167,ILLINOIS,0.4357,197661
17169,ILLINOIS,0.5707,7064
17171,ILLINOIS,0.1354,5047
17173,ILLINOIS,0.085,21832
17175,ILLINOIS,0.0634,5500
17177,ILLINOIS,0.5,45433
17179,ILLINOIS,0.107,133852
17181,ILLINOIS,0.6844,17127
17183,ILLINOIS,0.8131,78407
17185,ILLINOIS,0.3207,11573
17187,ILLINOIS,0.6073,17338
17189,ILLINOIS,0.0653,14155
17191,ILLINOIS,0.4331,16487
17193,ILLINOIS,0.5382,14025
17195,ILLINOIS,0.3283,56396
17197,ILLINOIS,0.2022,688697
17199,ILLINOIS,0.4806,67299
17201,ILLINOIS,0.7204,286174
17203,ILLINOIS,0.0188,38817
18001,INDIANA,0.5904,35195
18003,INDIANA,0.5236,370016
18005,INDIANA,0.3631,81893
18007,INDIANA,0.3347,8667
18009,INDIANA,0.371,12129
18011,INDIANA,0.0449,64321
18013,INDIANA,0.0602,15034
18015,INDIANA,0.1175,19994
18017,INDIANA,0.7197,38084
18019,INDIANA,0.2548,115702
18021,INDIANA,0.3338,26268
18023,INDIANA,0.571,32301
18025,INDIANA,0.3889,10581
18027,INDIANA,0.6882,32937
18029,INDIANA,0.0799,49501
18031,INDIANA,0.2102,26552
18033,INDIANA,0.2334,42704
18035,INDIANA,0.5666,115616
18037,INDIANA,0.208,42418
18039,INDIANA,0.7701,203604
18041,INDIANA,0.6108,23259
18043,INDIANA,0.1669,76809
18045,INDIANA,0.2032,16486
18047,INDIANA,0.1471,22842
18049,INDIANA,0.3459,20212
18051,INDIANA,0.315,33596
18053,INDIANA,0.7331,66944
18055,INDIANA,0.4443,32295
18057,INDIANA,0.0255,316095
18059,INDIANA,0.0169,73830
18061,INDIANA,0.1866,39712
18063,INDIANA,0.0815,160940
18065,INDIANA,0.3793,48483
18067,INDIANA,0.4815,82387
18069,INDIANA,0.1248,36378
18071,INDIANA,0.5389,43938
18073,INDIANA,0.2685,33449
18075,INDIANA,0.6748,20993
18077,INDIANA,0.4414,32237
18079,INDIANA,0.3847,27727
18081,INDIANA,0.1424,151564
18083,INDIANA,0.5927,37409
18085,INDIANA,0.4608,78806
18087,INDIANA,0.3707,38942
18089,INDIANA,0.7252,486849
18091,INDIANA,0.7217,110552
18093,INDIANA,0.2752,45619
18095,INDIANA,0.6713,129505
18097,INDIANA,0.7971,944523
18099,INDIANA,0.5796,46595
18101,INDIANA,0.2398,10210
18103,INDIANA,0.5879,35901
18105,INDIANA,0.4519,145403
18107,INDIANA,0.3685,38276
18109,INDIANA,0.2156,69727
18111,INDIANA,0.3366,14018
18113,INDIANA,0.4742,47451
18115,INDIANA,0.0252,5887
18117,INDIANA,0.6455,19547
18119,INDIANA,0.3455,20878
18121,INDIANA,0.5809,16996
18123,INDIANA,0.3102,19141
18125,INDIANA,0.1745,12411
18127,INDIANA,0.1478,168041
18129,INDIANA,0.0105,25589
18131,INDIANA,0.2309,12660
18133,INDIANA,0.3484,37559
18135,INDIANA,0.4296,25076
18137,INDIANA,0.3774,28425
18139,INDIANA,0.2567,16704
18141,INDIANA,0.6223,269240
18143,INDIANA,0.4201,23743
